key,festival,start_date,end_date,peak_date,scale,celebrated_by,national_weight,source
gyalpo_lhosar,Gyalpo Lhosar,2025-02-25,2025-02-28,2025-02-28,medium,sherpa,0.0,https://www.officeholidays.com/countries/nepal/2025
shivaratri,Maha Shivaratri,2025-02-26,2025-02-26,2025-02-26,minor,hindu,0.05,https://www.officeholidays.com/countries/nepal/2025
holi,Holi (Fagu Purnima),2025-03-11,2025-03-14,2025-03-13,medium,all,0.15,https://www.officeholidays.com/countries/nepal/2025
eid_fitr,Eid al-Fitr,2025-03-27,2025-03-31,2025-03-31,medium,muslim,0.0,https://www.officeholidays.com/countries/nepal/2025
new_year,Nepali New Year,2025-04-13,2025-04-15,2025-04-14,medium,all,0.2,https://www.officeholidays.com/countries/nepal/2025
wedding_baisakh,Wedding season (Baisakh-Asar),2025-04-14,2025-07-15,2025-05-15,minor,all,0.08,https://english.onlinekhabar.com/another-wedding-season-in-nepal-why-too-few-dates-for-too-many-couples-every-year.html
mothers_day,Mata Tirtha Aunsi (Mother's Day),2025-04-27,2025-04-27,2025-04-27,minor,all,0.06,https://www.spotlightnepal.com/2024/05/08/mata-tirtha-aunsi-2024-mothers-day-of-nepal-and-its-impotence/ ; https://radionepalonline.com/en/2025/04/27/406789.html ; https://indexadventure.com/blog/mother-s-day-in-nepal
buddha_jayanti,Buddha Jayanti,2025-05-12,2025-05-12,2025-05-12,minor,buddhist,0.03,https://www.officeholidays.com/countries/nepal/2025
eid_adha,Eid al-Adha,2025-06-06,2025-06-07,2025-06-07,medium,muslim,0.0,https://www.officeholidays.com/countries/nepal/2025
janai_purnima,Janai Purnima / Raksha Bandhan,2025-08-08,2025-08-09,2025-08-09,minor,hindu,0.08,https://calendarific.com/holiday/nepal/janai-purnima
gai_jatra,Gai Jatra,2025-08-10,2025-08-10,2025-08-10,minor,newar,0.0,https://www.officeholidays.com/countries/nepal/2025
janmashtami,Krishna Janmashtami,2025-08-15,2025-08-16,2025-08-16,minor,hindu,0.06,https://publicholidays.asia/nepal/shree-krishna-janmashtami/
teej,Haritalika Teej,2025-08-19,2025-08-26,2025-08-26,medium,hindu,0.25,https://www.officeholidays.com/countries/nepal/2025
fathers_day,Kushe Aunsi (Father's Day),2025-08-23,2025-08-23,2025-08-23,minor,all,0.06,https://indexadventure.com/blog/fathers-day-in-nepal
indra_jatra,Indra Jatra,2025-09-06,2025-09-08,2025-09-06,minor,newar,0.0,https://www.officeholidays.com/countries/nepal/2025
dashain,Dashain,2025-09-22,2025-10-06,2025-10-02,major,all,1.0,https://www.nepalhikingteam.com/dashain-festival
tihar,Tihar,2025-10-18,2025-10-23,2025-10-20,major,all,0.7,https://www.timeanddate.com/holidays/nepal/laxmi-pujan-tihar
chhath,Chhath,2025-10-24,2025-10-27,2025-10-27,medium,madhesi,0.0,https://www.officeholidays.com/countries/nepal/2025
wedding_mangsir,Wedding season (Mangsir),2025-11-16,2025-12-15,2025-12-01,medium,all,0.12,https://english.onlinekhabar.com/another-wedding-season-in-nepal-why-too-few-dates-for-too-many-couples-every-year.html
yomari,Yomari Punhi,2025-12-04,2025-12-04,2025-12-04,minor,newar,0.0,https://www.officeholidays.com/countries/nepal/2025
christmas,Christmas,2025-12-22,2025-12-25,2025-12-25,minor,"christian,youth",0.04,https://www.officeholidays.com/countries/nepal/2025
tamu_lhosar,Tamu Lhosar,2025-12-27,2025-12-30,2025-12-30,medium,gurung,0.0,https://www.officeholidays.com/countries/nepal/2025
new_years_eve,New Year's Eve,2025-12-31,2025-12-31,2025-12-31,minor,youth,0.04,Fixed date
maghe_sankranti,Maghe Sankranti / Maghi,2026-01-13,2026-01-14,2026-01-14,medium,all,0.1,https://www.officeholidays.com/countries/nepal/2026
wedding_magh,Wedding season (Magh-Falgun),2026-01-15,2026-03-13,2026-02-10,minor,all,0.08,https://english.onlinekhabar.com/another-wedding-season-in-nepal-why-too-few-dates-for-too-many-couples-every-year.html
sonam_lhosar,Sonam Lhosar,2026-01-16,2026-01-19,2026-01-19,medium,tamang,0.0,https://www.officeholidays.com/countries/nepal/2026
shree_panchami,Shree Panchami (Saraswati Puja),2026-01-23,2026-01-23,2026-01-23,minor,students,0.0,https://www.spotlightnepal.com/2024/02/14/basanta-shree-panchami-and-saraswati-puja-2024-importance-and-significant/ ; https://english.nepalpress.com/2025/02/03/saraswati-puja-being-observed-today-with-photos-2/ ; https://en.wikipedia.org/wiki/Vasant_Panchami
valentines,Valentine's Day,2026-02-14,2026-02-14,2026-02-14,minor,youth,0.02,Fixed date
shivaratri,Maha Shivaratri,2026-02-15,2026-02-15,2026-02-15,minor,hindu,0.05,https://www.officeholidays.com/countries/nepal/2026
gyalpo_lhosar,Gyalpo Lhosar,2026-02-15,2026-02-18,2026-02-18,medium,sherpa,0.0,https://www.officeholidays.com/countries/nepal/2026
holi,Holi (Fagu Purnima),2026-02-28,2026-03-03,2026-03-02,medium,all,0.15,https://www.officeholidays.com/countries/nepal/2026
eid_fitr,Eid al-Fitr,2026-03-17,2026-03-21,2026-03-21,medium,muslim,0.0,https://www.officeholidays.com/countries/nepal/2026
new_year,Nepali New Year,2026-04-13,2026-04-15,2026-04-14,medium,all,0.2,https://www.officeholidays.com/countries/nepal/2026
wedding_baisakh,Wedding season (Baisakh-Asar),2026-04-14,2026-07-15,2026-05-15,minor,all,0.08,https://english.onlinekhabar.com/another-wedding-season-in-nepal-why-too-few-dates-for-too-many-couples-every-year.html
mothers_day,Mata Tirtha Aunsi (Mother's Day),2026-04-17,2026-04-17,2026-04-17,minor,all,0.06,https://www.spotlightnepal.com/2024/05/08/mata-tirtha-aunsi-2024-mothers-day-of-nepal-and-its-impotence/ ; https://radionepalonline.com/en/2025/04/27/406789.html ; https://indexadventure.com/blog/mother-s-day-in-nepal
buddha_jayanti,Buddha Jayanti,2026-05-01,2026-05-01,2026-05-01,minor,buddhist,0.03,https://www.officeholidays.com/countries/nepal/2026
eid_adha,Eid al-Adha,2026-05-27,2026-05-28,2026-05-28,medium,muslim,0.0,https://www.officeholidays.com/countries/nepal/2026
janai_purnima,Janai Purnima / Raksha Bandhan,2026-08-27,2026-08-28,2026-08-28,minor,hindu,0.08,https://calendarific.com/holiday/nepal/janai-purnima
gai_jatra,Gai Jatra,2026-08-29,2026-08-29,2026-08-29,minor,newar,0.0,https://www.officeholidays.com/countries/nepal/2026
janmashtami,Krishna Janmashtami,2026-09-03,2026-09-04,2026-09-04,minor,hindu,0.06,https://publicholidays.asia/nepal/shree-krishna-janmashtami/
teej,Haritalika Teej,2026-09-07,2026-09-14,2026-09-14,medium,hindu,0.25,https://www.officeholidays.com/countries/nepal/2026
fathers_day,Kushe Aunsi (Father's Day),2026-09-11,2026-09-11,2026-09-11,minor,all,0.06,https://indexadventure.com/blog/fathers-day-in-nepal
indra_jatra,Indra Jatra,2026-09-25,2026-09-27,2026-09-25,minor,newar,0.0,https://www.officeholidays.com/countries/nepal/2026
dashain,Dashain,2026-10-11,2026-10-25,2026-10-21,major,all,1.0,https://www.nepalhikingteam.com/dashain-festival
tihar,Tihar,2026-11-06,2026-11-11,2026-11-08,major,all,0.7,https://www.officeholidays.com/countries/nepal/2026
chhath,Chhath,2026-11-12,2026-11-15,2026-11-15,medium,madhesi,0.0,https://www.officeholidays.com/countries/nepal/2026
wedding_mangsir,Wedding season (Mangsir),2026-11-16,2026-12-15,2026-12-01,medium,all,0.12,https://english.onlinekhabar.com/another-wedding-season-in-nepal-why-too-few-dates-for-too-many-couples-every-year.html
christmas,Christmas,2026-12-22,2026-12-25,2026-12-25,minor,"christian,youth",0.04,https://www.officeholidays.com/countries/nepal/2026
yomari,Yomari Punhi,2026-12-24,2026-12-24,2026-12-24,minor,newar,0.0,https://www.officeholidays.com/countries/nepal/2026
tamu_lhosar,Tamu Lhosar,2026-12-27,2026-12-30,2026-12-30,medium,gurung,0.0,https://www.officeholidays.com/countries/nepal/2026
new_years_eve,New Year's Eve,2026-12-31,2026-12-31,2026-12-31,minor,youth,0.04,Fixed date
maghe_sankranti,Maghe Sankranti / Maghi,2027-01-14,2027-01-15,2027-01-15,medium,all,0.1,https://www.officeholidays.com/countries/nepal/2027
wedding_magh,Wedding season (Magh-Falgun),2027-01-15,2027-03-13,2027-02-10,minor,all,0.08,https://english.onlinekhabar.com/another-wedding-season-in-nepal-why-too-few-dates-for-too-many-couples-every-year.html
sonam_lhosar,Sonam Lhosar,2027-02-04,2027-02-07,2027-02-07,medium,tamang,0.0,https://www.officeholidays.com/countries/nepal/2027
shree_panchami,Shree Panchami (Saraswati Puja),2027-02-11,2027-02-11,2027-02-11,minor,students,0.0,https://www.spotlightnepal.com/2024/02/14/basanta-shree-panchami-and-saraswati-puja-2024-importance-and-significant/ ; https://english.nepalpress.com/2025/02/03/saraswati-puja-being-observed-today-with-photos-2/ ; https://en.wikipedia.org/wiki/Vasant_Panchami
valentines,Valentine's Day,2027-02-14,2027-02-14,2027-02-14,minor,youth,0.02,Fixed date
gyalpo_lhosar,Gyalpo Lhosar,2027-03-02,2027-03-05,2027-03-05,medium,sherpa,0.0,https://www.officeholidays.com/countries/nepal/2027
eid_fitr,Eid al-Fitr,2027-03-05,2027-03-09,2027-03-09,medium,muslim,0.0,https://www.officeholidays.com/countries/nepal/2027
shivaratri,Maha Shivaratri,2027-03-06,2027-03-06,2027-03-06,minor,hindu,0.05,https://www.officeholidays.com/countries/nepal/2027
holi,Holi (Fagu Purnima),2027-03-20,2027-03-23,2027-03-22,medium,all,0.15,https://www.officeholidays.com/countries/nepal/2027
new_year,Nepali New Year,2027-04-13,2027-04-15,2027-04-14,medium,all,0.2,https://www.officeholidays.com/countries/nepal/2027
wedding_baisakh,Wedding season (Baisakh-Asar),2027-04-14,2027-07-15,2027-05-15,minor,all,0.08,https://english.onlinekhabar.com/another-wedding-season-in-nepal-why-too-few-dates-for-too-many-couples-every-year.html
eid_adha,Eid al-Adha,2027-05-15,2027-05-16,2027-05-16,medium,muslim,0.0,https://www.officeholidays.com/countries/nepal/2027
buddha_jayanti,Buddha Jayanti,2027-05-20,2027-05-20,2027-05-20,minor,buddhist,0.03,https://www.officeholidays.com/countries/nepal/2027
janai_purnima,Janai Purnima / Raksha Bandhan,2027-08-16,2027-08-17,2027-08-17,minor,hindu,0.08,https://calendarific.com/holiday/nepal/janai-purnima
gai_jatra,Gai Jatra,2027-08-18,2027-08-18,2027-08-18,minor,newar,0.0,https://www.officeholidays.com/countries/nepal/2027
teej,Haritalika Teej,2027-08-27,2027-09-03,2027-09-03,medium,hindu,0.25,https://www.officeholidays.com/countries/nepal/2027
indra_jatra,Indra Jatra,2027-09-14,2027-09-16,2027-09-14,minor,newar,0.0,https://www.officeholidays.com/countries/nepal/2027
dashain,Dashain,2027-09-30,2027-10-14,2027-10-10,major,all,1.0,https://www.officeholidays.com/countries/nepal/2027 (Phulpati 6 Oct; start derived)
tihar,Tihar,2027-10-27,2027-10-31,2027-10-29,major,all,0.7,https://www.officeholidays.com/countries/nepal/2027
chhath,Chhath,2027-11-01,2027-11-04,2027-11-04,medium,madhesi,0.0,https://www.officeholidays.com/countries/nepal/2027
wedding_mangsir,Wedding season (Mangsir),2027-11-16,2027-12-15,2027-12-01,medium,all,0.12,https://english.onlinekhabar.com/another-wedding-season-in-nepal-why-too-few-dates-for-too-many-couples-every-year.html
yomari,Yomari Punhi,2027-12-13,2027-12-13,2027-12-13,minor,newar,0.0,https://www.officeholidays.com/countries/nepal/2027
christmas,Christmas,2027-12-22,2027-12-25,2027-12-25,minor,"christian,youth",0.04,https://www.officeholidays.com/countries/nepal/2027
tamu_lhosar,Tamu Lhosar,2027-12-27,2027-12-30,2027-12-30,medium,gurung,0.0,https://www.officeholidays.com/countries/nepal/2027
new_years_eve,New Year's Eve,2027-12-31,2027-12-31,2027-12-31,minor,youth,0.04,Fixed date
