household,group_type,month,total_npr,expense_count,festival_intensity,festival_npr,food_npr,transport_npr
family_2,family,2024-08,92505,40,0.2025,8450,15245,2400
family_2,family,2024-09,92595,41,0.2475,16450,17030,490
family_2,family,2024-10,158035,56,1.28,62160,39650,7345
family_2,family,2024-11,109845,39,0.48,10670,23235,3880
family_2,family,2024-12,78930,35,0.14,2150,11065,1325
family_2,family,2025-01,132365,41,0.1234,23070,7065,2530
family_2,family,2025-02,75385,33,0.1086,630,6075,30
family_2,family,2025-03,177590,35,0.1679,4350,14960,3560
family_2,family,2025-04,170850,40,0.2746,13760,12290,425
family_2,family,2025-05,105730,34,0.0567,5390,7930,6760
family_2,family,2025-06,88735,32,0.0258,0,11165,670
family_2,family,2025-07,85240,34,0.0129,2700,8260,3290
family_2,family,2025-08,105880,46,0.45,28690,16320,2620
family_2,family,2025-09,141060,47,0.6,43300,48905,4240
family_2,family,2025-10,107240,41,1.1,28860,26890,5060
family_2,family,2025-11,117185,39,0.06,10700,5030,4955
family_2,family,2025-12,74775,34,0.14,2230,21330,485
family_2,family,2026-01,119810,40,0.1234,18940,28680,1600
family_2,family,2026-02,99290,34,0.1461,7190,5940,4220
family_2,family,2026-03,134120,35,0.1304,3330,9390,3490
family_2,family,2026-04,100945,40,0.2746,16300,10380,5565
family_2,family,2026-05,108685,37,0.0567,5300,14705,4830
family_2,family,2026-06,80090,33,0.0258,0,16020,4520
family_2,family,2026-07,119040,34,0.0129,1480,12140,600
family_2,family,2026-08,104390,40,0.08,5720,18795,2500
family_2,family,2026-09,139135,48,0.37,21410,14410,2830
family_3,family,2023-10,189490,35,1.0,126210,103460,7060
family_3,family,2023-11,156705,45,0.76,76160,16255,10680
family_3,family,2023-12,92290,20,0.14,0,17000,2860
family_3,family,2024-01,76965,25,0.1231,4190,13625,6580
family_3,family,2024-02,99795,23,0.0593,15350,24195,1150
family_3,family,2024-03,96470,28,0.2176,6610,8370,1450
family_3,family,2024-04,93930,27,0.2146,11680,26860,4940
family_3,family,2024-05,103580,27,0.1167,8110,8900,3200
family_3,family,2024-06,68745,20,0.0258,0,2135,6870
family_3,family,2024-07,109420,23,0.0129,0,19530,7050
family_3,family,2024-08,132690,31,0.2025,22880,20210,450
family_3,family,2024-09,83440,27,0.2475,6170,4780,3650
family_3,family,2024-10,213075,44,1.28,139260,13230,4905
family_3,family,2024-11,146140,38,0.48,68570,17280,1650
family_3,family,2024-12,58995,21,0.14,0,7685,0
family_3,family,2025-01,108125,26,0.1234,9130,15220,2455
family_3,family,2025-02,97490,28,0.1086,15720,10000,60
family_3,family,2025-03,89190,27,0.1679,4000,6720,8480
family_3,family,2025-04,124980,34,0.2746,33120,6250,5240
family_3,family,2025-05,97725,22,0.0567,0,15750,4500
family_3,family,2025-06,98810,23,0.0258,0,26990,2260
family_3,family,2025-07,101180,24,0.0129,0,17410,3300
family_3,family,2025-08,146610,38,0.45,60430,18870,13090
family_3,family,2025-09,149030,37,0.6,71050,47740,5390
family_3,family,2025-10,185240,47,1.1,106620,39900,6140
family_3,family,2025-11,91985,26,0.06,15520,8640,1705
family_3,family,2025-12,104220,23,0.14,0,13860,1070
family_3,family,2026-01,115290,31,0.1234,32590,19930,4350
family_3,family,2026-02,135930,29,0.1461,12770,18130,2000
family_3,family,2026-03,85110,30,0.1304,16850,18210,8450
family_3,family,2026-04,126095,29,0.2746,19420,5525,5830
family_3,family,2026-05,103960,23,0.0567,0,11240,120
family_3,family,2026-06,73720,21,0.0258,0,13640,0
family_3,family,2026-07,115760,23,0.0129,0,20960,890
family_3,family,2026-08,97670,25,0.08,4620,4800,2870
family_3,family,2026-09,119160,34,0.37,36110,7005,4345
student_home_1,college,2023-10,131015,31,1.0,99510,73445,9680
student_home_1,college,2023-11,68440,29,0.76,21420,3700,7110
student_home_1,college,2023-12,46430,23,0.14,18570,19550,7900
student_home_1,college,2024-01,29270,20,0.1231,3540,14120,3670
student_home_1,college,2024-02,120230,25,0.0593,9220,3980,2960
student_home_1,college,2024-03,38515,24,0.2176,4230,2290,5325
student_home_1,college,2024-04,41165,23,0.2146,19320,12200,6685
student_home_1,college,2024-05,38305,21,0.1167,7610,7885,10700
student_home_1,college,2024-06,30130,15,0.0258,0,9570,2770
student_home_1,college,2024-07,41320,15,0.0129,0,4930,3470
student_home_1,college,2024-08,127230,26,0.2025,14180,7870,6890
student_home_1,college,2024-09,55195,24,0.2475,12450,11910,8525
student_home_1,college,2024-10,196830,30,1.28,94950,50860,3790
student_home_1,college,2024-11,41660,22,0.48,11400,1950,6080
student_home_1,college,2024-12,68890,24,0.14,22450,14360,5750
student_home_1,college,2025-01,105180,20,0.1234,5600,5590,9840
student_home_1,college,2025-02,145615,23,0.1086,14230,4710,5175
student_home_1,college,2025-03,22785,20,0.1679,1290,7275,4100
student_home_1,college,2025-04,46550,27,0.2746,21150,12725,10115
student_home_1,college,2025-05,16770,19,0.0567,670,2130,5340
student_home_1,college,2025-06,34325,17,0.0258,0,7985,5210
student_home_1,college,2025-07,38010,16,0.0129,0,4330,4390
student_home_1,college,2025-08,111695,30,0.45,21670,21940,4025
student_home_1,college,2025-09,57220,27,0.6,35240,36550,4220
student_home_1,college,2025-10,139655,29,1.1,24370,17430,2345
student_home_1,college,2025-11,50620,22,0.06,10550,9780,4730
student_home_1,college,2025-12,67495,22,0.14,9080,8530,8325
student_home_1,college,2026-01,41145,24,0.1234,11440,10190,7005
student_home_1,college,2026-02,122475,25,0.1461,19140,10875,3320
student_home_1,college,2026-03,56710,20,0.1304,1960,7645,5275
student_home_1,college,2026-04,57730,27,0.2746,7430,7420,7650
student_home_1,college,2026-05,54360,22,0.0567,8100,5170,10970
student_home_1,college,2026-06,40525,17,0.0258,0,3420,5635
student_home_1,college,2026-07,60620,17,0.0129,0,7000,6830
student_home_1,college,2026-08,124130,25,0.08,3910,6220,7760
student_home_1,college,2026-09,47370,26,0.37,12240,19280,5250
student_home_2,college,2023-10,91860,30,1.0,51000,29740,10500
student_home_2,college,2023-11,77730,28,0.76,40970,1385,12105
student_home_2,college,2023-12,95070,34,0.14,55270,20910,4180
student_home_2,college,2024-01,75120,24,0.1231,15470,7680,4750
student_home_2,college,2024-02,146745,23,0.0593,2650,1150,2515
student_home_2,college,2024-03,33390,22,0.2176,450,10710,4395
student_home_2,college,2024-04,49730,23,0.2146,4330,11465,3835
student_home_2,college,2024-05,93540,25,0.1167,9480,4860,2700
student_home_2,college,2024-06,26945,19,0.0258,0,10080,2995
student_home_2,college,2024-07,29450,17,0.0129,0,1290,5100
student_home_2,college,2024-08,114705,21,0.2025,0,15700,1495
student_home_2,college,2024-09,36055,21,0.2475,4850,4150,3975
student_home_2,college,2024-10,95130,30,1.28,53060,37370,5040
student_home_2,college,2024-11,53530,25,0.48,14750,8850,3600
student_home_2,college,2024-12,134580,33,0.14,52220,16080,11160
student_home_2,college,2025-01,36480,20,0.1234,6550,6690,8610
student_home_2,college,2025-02,118790,24,0.1086,6740,9100,7840
student_home_2,college,2025-03,25895,21,0.1679,3080,5990,3745
student_home_2,college,2025-04,43745,21,0.2746,7550,17480,5685
student_home_2,college,2025-05,200190,22,0.0567,5230,1890,3800
student_home_2,college,2025-06,27795,19,0.0258,0,4995,2200
student_home_2,college,2025-07,26755,18,0.0129,0,2895,1590
student_home_2,college,2025-08,130245,21,0.45,1110,6020,1575
student_home_2,college,2025-09,65920,27,0.6,20450,16260,7670
student_home_2,college,2025-10,131920,29,1.1,35750,23800,3610
student_home_2,college,2025-11,43760,24,0.06,11750,1710,5900
student_home_2,college,2025-12,61990,31,0.14,27830,35995,2225
student_home_2,college,2026-01,46260,27,0.1234,6090,11130,8680
student_home_2,college,2026-02,107340,23,0.1461,3150,11280,3600
student_home_2,college,2026-03,69320,22,0.1304,1330,25500,6170
student_home_2,college,2026-04,38505,28,0.2746,8030,2505,12030
student_home_2,college,2026-05,62450,21,0.0567,3920,3380,2930
student_home_2,college,2026-06,37410,17,0.0258,0,6750,4530
student_home_2,college,2026-07,19570,17,0.0129,0,3820,2640
student_home_2,college,2026-08,83310,22,0.08,0,1675,6865
student_home_2,college,2026-09,32810,22,0.37,4840,3850,1020
student_home_3,college,2023-10,45145,23,1.0,12700,2030,6580
student_home_3,college,2023-11,61045,22,0.76,4720,1265,5670
student_home_3,college,2023-12,43040,25,0.14,15800,3580,5770
student_home_3,college,2024-01,52850,22,0.1231,14800,8250,4070
student_home_3,college,2024-02,219100,23,0.0593,1800,1050,5480
student_home_3,college,2024-03,24920,21,0.2176,860,4550,3870
student_home_3,college,2024-04,53790,25,0.2146,24850,15730,1580
student_home_3,college,2024-05,46680,25,0.1167,13850,10330,3430
student_home_3,college,2024-06,48120,20,0.0258,11750,18740,3210
student_home_3,college,2024-07,47120,18,0.0129,0,8060,5390
student_home_3,college,2024-08,125770,20,0.2025,0,9760,4400
student_home_3,college,2024-09,55840,22,0.2475,3240,5170,1650
student_home_3,college,2024-10,52770,24,1.28,4290,10790,7610
student_home_3,college,2024-11,49040,24,0.48,9360,14220,7100
student_home_3,college,2024-12,149790,24,0.14,15250,7500,7280
student_home_3,college,2025-01,51750,26,0.1234,13850,16430,2660
student_home_3,college,2025-02,171545,23,0.1086,4070,7595,3740
student_home_3,college,2025-03,100195,28,0.1679,29640,20830,3465
student_home_3,college,2025-04,87600,24,0.2746,6180,9050,2180
student_home_3,college,2025-05,116020,22,0.0567,3620,4760,4150
student_home_3,college,2025-06,144060,20,0.0258,21200,21450,5640
student_home_3,college,2025-07,46180,18,0.0129,0,8370,7830
student_home_3,college,2025-08,154475,22,0.45,4700,7245,3560
student_home_3,college,2025-09,57215,23,0.6,17800,17435,7500
student_home_3,college,2025-10,54390,24,1.1,5960,3490,8660
student_home_3,college,2025-11,41245,22,0.06,7950,11250,2755
student_home_3,college,2025-12,69000,28,0.14,20950,14090,7440
student_home_3,college,2026-01,44865,28,0.1234,17470,7280,3295
student_home_3,college,2026-02,190120,26,0.1461,11730,11860,3550
student_home_3,college,2026-03,53650,27,0.1304,8740,18690,6640
student_home_3,college,2026-04,93295,24,0.2746,7260,7355,3360
student_home_3,college,2026-05,83040,24,0.0567,19350,25610,4500
student_home_3,college,2026-06,43320,20,0.0258,0,12450,4730
student_home_3,college,2026-07,59325,18,0.0129,0,6450,2635
student_home_3,college,2026-08,133170,22,0.08,0,3160,3530
student_home_3,college,2026-09,46390,24,0.37,2550,10800,2930
student_hostel_1,roommates,2023-10,157280,27,1.0,24300,15220,12300
student_hostel_1,roommates,2023-11,53275,29,0.76,16320,21410,5295
student_hostel_1,roommates,2023-12,178435,25,0.14,8350,18450,75
student_hostel_1,roommates,2024-01,79515,29,0.1231,16900,30220,7055
student_hostel_1,roommates,2024-02,124945,26,0.0593,1640,12120,1845
student_hostel_1,roommates,2024-03,43965,27,0.2176,2270,22690,4635
student_hostel_1,roommates,2024-04,89100,29,0.2146,26310,48310,9850
student_hostel_1,roommates,2024-05,79490,25,0.1167,6600,13530,14550
student_hostel_1,roommates,2024-06,297830,19,0.0258,0,4360,3590
student_hostel_1,roommates,2024-07,72890,21,0.0129,0,8150,1320
student_hostel_1,roommates,2024-08,177400,28,0.2025,12710,42420,4710
student_hostel_1,roommates,2024-09,107580,26,0.2475,7340,41110,1850
student_hostel_1,roommates,2024-10,132000,32,1.28,59350,56680,10290
student_hostel_1,roommates,2024-11,51450,26,0.48,12960,5730,10470
student_hostel_1,roommates,2024-12,73210,26,0.14,20250,10440,2660
student_hostel_1,roommates,2025-01,70125,29,0.1234,23030,29240,3335
student_hostel_1,roommates,2025-02,260920,29,0.1086,21320,7660,13950
student_hostel_1,roommates,2025-03,65435,24,0.1679,6160,25290,6015
student_hostel_1,roommates,2025-04,84620,28,0.2746,28350,24920,4740
student_hostel_1,roommates,2025-05,92560,21,0.0567,0,9010,13070
student_hostel_1,roommates,2025-06,59130,20,0.0258,0,21530,5890
student_hostel_1,roommates,2025-07,47790,21,0.0129,0,7740,3580
student_hostel_1,roommates,2025-08,180460,33,0.45,49460,54740,1650
student_hostel_1,roommates,2025-09,176195,30,0.6,70800,28590,14305
student_hostel_1,roommates,2025-10,204580,28,1.1,35770,21610,990
student_hostel_1,roommates,2025-11,61120,23,0.06,1990,8610,20330
student_hostel_1,roommates,2025-12,90675,27,0.14,18900,10980,935
student_hostel_1,roommates,2026-01,98450,32,0.1234,47500,22990,14320
student_hostel_1,roommates,2026-02,125650,25,0.1461,4800,8070,6830
student_hostel_1,roommates,2026-03,45640,22,0.1304,2200,10050,6740
student_hostel_1,roommates,2026-04,69055,28,0.2746,23330,16560,9940
student_hostel_1,roommates,2026-05,47235,22,0.0567,0,7750,11200
student_hostel_1,roommates,2026-06,40490,19,0.0258,0,6320,4660
student_hostel_1,roommates,2026-07,167930,20,0.0129,0,8510,7390
student_hostel_1,roommates,2026-08,166540,27,0.08,9000,6390,11280
student_hostel_1,roommates,2026-09,68750,29,0.37,20430,14270,8750
student_hostel_2,roommates,2023-10,45020,28,1.0,16750,12460,2480
student_hostel_2,roommates,2023-11,50740,29,0.76,8910,15945,2665
student_hostel_2,roommates,2023-12,54945,27,0.14,22350,7750,5475
student_hostel_2,roommates,2024-01,49490,29,0.1231,10950,9315,4940
student_hostel_2,roommates,2024-02,121710,30,0.0593,10750,10490,5010
student_hostel_2,roommates,2024-03,45490,24,0.2176,1170,17610,1700
student_hostel_2,roommates,2024-04,40720,27,0.2146,6480,13580,4970
student_hostel_2,roommates,2024-05,30875,28,0.1167,4950,3510,7165
student_hostel_2,roommates,2024-06,29710,22,0.0258,0,8480,4630
student_hostel_2,roommates,2024-07,42365,24,0.0129,4970,11210,3895
student_hostel_2,roommates,2024-08,110020,23,0.2025,0,7480,3710
student_hostel_2,roommates,2024-09,39065,26,0.2475,3910,5040,4155
student_hostel_2,roommates,2024-10,87950,36,1.28,46010,37960,6890
student_hostel_2,roommates,2024-11,70190,27,0.48,26200,10600,3910
student_hostel_2,roommates,2024-12,53560,28,0.14,7700,7280,710
student_hostel_2,roommates,2025-01,67625,33,0.1234,23650,18515,2140
student_hostel_2,roommates,2025-02,126515,29,0.1086,7590,4735,320
student_hostel_2,roommates,2025-03,47850,24,0.1679,1030,8115,135
student_hostel_2,roommates,2025-04,47750,27,0.2746,6310,7200,9970
student_hostel_2,roommates,2025-05,42160,28,0.0567,9700,16110,1005
student_hostel_2,roommates,2025-06,59410,20,0.0258,0,5720,50
student_hostel_2,roommates,2025-07,50860,24,0.0129,3610,6460,5470
student_hostel_2,roommates,2025-08,149410,27,0.45,4400,11210,530
student_hostel_2,roommates,2025-09,152530,33,0.6,32190,37450,9430
student_hostel_2,roommates,2025-10,81165,34,1.1,44990,21620,4165
student_hostel_2,roommates,2025-11,33845,26,0.06,3350,4535,3220
student_hostel_2,roommates,2025-12,59175,29,0.14,8300,8925,2650
student_hostel_2,roommates,2026-01,98370,32,0.1234,33630,36890,5470
student_hostel_2,roommates,2026-02,130655,31,0.1461,7120,6715,2570
student_hostel_2,roommates,2026-03,45770,27,0.1304,860,15515,1325
student_hostel_2,roommates,2026-04,76490,31,0.2746,9890,22980,2540
student_hostel_2,roommates,2026-05,65360,29,0.0567,1480,8805,3490
student_hostel_2,roommates,2026-06,67745,23,0.0258,0,10010,985
student_hostel_2,roommates,2026-07,51555,25,0.0129,4100,5240,6445
student_hostel_2,roommates,2026-08,238290,28,0.08,0,26000,0
student_hostel_2,roommates,2026-09,58590,28,0.37,3850,22090,2050
student_hostel_3,roommates,2023-10,53240,27,1.0,14740,17360,7740
student_hostel_3,roommates,2023-11,50735,27,0.76,9460,11050,5855
student_hostel_3,roommates,2023-12,100860,26,0.14,20080,29590,480
student_hostel_3,roommates,2024-01,168965,22,0.1231,4450,9610,3625
student_hostel_3,roommates,2024-02,193900,26,0.0593,19230,8590,10160
student_hostel_3,roommates,2024-03,42995,24,0.2176,2240,9720,11940
student_hostel_3,roommates,2024-04,52615,26,0.2146,10950,12130,4455
student_hostel_3,roommates,2024-05,36365,24,0.1167,2940,6285,10750
student_hostel_3,roommates,2024-06,53645,19,0.0258,0,12800,3945
student_hostel_3,roommates,2024-07,43885,19,0.0129,0,6915,1230
student_hostel_3,roommates,2024-08,127525,24,0.2025,6000,4820,3045
student_hostel_3,roommates,2024-09,44060,24,0.2475,5510,6950,7650
student_hostel_3,roommates,2024-10,72240,30,1.28,20560,15470,5390
student_hostel_3,roommates,2024-11,90170,27,0.48,19930,9400,12080
student_hostel_3,roommates,2024-12,100890,29,0.14,29750,20340,12850
student_hostel_3,roommates,2025-01,69385,24,0.1234,27800,4555,3270
student_hostel_3,roommates,2025-02,158290,25,0.1086,7920,21330,3510
student_hostel_3,roommates,2025-03,37210,23,0.1679,1900,17000,2070
student_hostel_3,roommates,2025-04,55280,25,0.2746,21480,19870,3600
student_hostel_3,roommates,2025-05,31140,21,0.0567,2000,11630,6560
student_hostel_3,roommates,2025-06,17710,18,0.0258,0,3210,790
student_hostel_3,roommates,2025-07,37400,19,0.0129,0,3050,1600
student_hostel_3,roommates,2025-08,127400,27,0.45,6870,11480,2380
student_hostel_3,roommates,2025-09,63080,25,0.6,19220,10500,1420
student_hostel_3,roommates,2025-10,180010,29,1.1,39390,26500,4330
student_hostel_3,roommates,2025-11,60255,24,0.06,12730,10145,6980
student_hostel_3,roommates,2025-12,43425,26,0.14,18590,19140,3835
student_hostel_3,roommates,2026-01,64975,24,0.1234,10930,24740,4445
student_hostel_3,roommates,2026-02,157280,25,0.1461,23770,13980,1180
student_hostel_3,roommates,2026-03,26275,21,0.1304,1150,5820,4740
student_hostel_3,roommates,2026-04,81075,27,0.2746,26380,11300,4025
student_hostel_3,roommates,2026-05,44335,21,0.0567,0,4755,5090
student_hostel_3,roommates,2026-06,56310,19,0.0258,0,2480,4050
student_hostel_3,roommates,2026-07,32825,18,0.0129,0,3600,755
student_hostel_3,roommates,2026-08,140680,25,0.08,1520,11970,0
student_hostel_3,roommates,2026-09,48860,25,0.37,14640,25880,4280
trip_group_1,trip,2023-10,33785,15,1.0,0,4380,5225
trip_group_1,trip,2023-11,22720,11,0.76,0,17090,1290
trip_group_1,trip,2023-12,20770,11,0.14,0,120,5780
trip_group_1,trip,2024-01,13540,5,0.1231,0,8310,0
trip_group_1,trip,2024-02,11250,6,0.0593,0,650,1850
trip_group_1,trip,2024-03,32940,13,0.2176,0,19040,1370
trip_group_1,trip,2024-04,51260,15,0.2146,0,12800,1570
trip_group_1,trip,2024-05,18530,6,0.1167,0,780,4800
trip_group_1,trip,2024-06,7680,6,0.0258,0,540,2100
trip_group_1,trip,2024-07,23570,6,0.0129,0,720,3650
trip_group_1,trip,2024-08,14560,5,0.2025,0,460,0
trip_group_1,trip,2024-09,14100,5,0.2475,0,3080,0
trip_group_1,trip,2024-10,48420,15,1.28,0,1340,4580
trip_group_1,trip,2024-11,49830,12,0.48,0,80,1590
trip_group_1,trip,2024-12,7850,12,0.14,0,1250,1230
trip_group_1,trip,2025-01,40050,5,0.1234,0,9000,0
trip_group_1,trip,2025-02,9350,6,0.1086,0,410,990
trip_group_1,trip,2025-03,23420,13,0.1679,0,2670,3490
trip_group_1,trip,2025-04,60410,17,0.2746,0,9300,2250
trip_group_1,trip,2025-05,11390,6,0.0567,0,2450,0
trip_group_1,trip,2025-06,12215,6,0.0258,0,2100,1375
trip_group_1,trip,2025-07,24835,6,0.0129,0,690,2945
trip_group_1,trip,2025-08,15850,6,0.45,0,8360,0
trip_group_1,trip,2025-09,35850,6,0.6,0,500,2400
trip_group_1,trip,2025-10,31790,16,1.1,0,9095,4695
trip_group_1,trip,2025-11,36450,14,0.06,0,3410,3940
trip_group_1,trip,2025-12,21330,13,0.14,0,4730,2370
trip_group_1,trip,2026-01,24635,6,0.1234,0,0,935
trip_group_1,trip,2026-02,11280,6,0.1461,0,390,3320
trip_group_1,trip,2026-03,20940,15,0.1304,0,3820,4260
trip_group_1,trip,2026-04,31350,15,0.2746,0,1620,6860
trip_group_1,trip,2026-05,21570,7,0.0567,0,0,5220
trip_group_1,trip,2026-06,26200,7,0.0258,0,6260,4690
trip_group_1,trip,2026-07,11650,7,0.0129,0,1650,400
trip_group_1,trip,2026-08,20115,6,0.08,0,570,3595
trip_group_1,trip,2026-09,46110,6,0.37,0,1700,2160
trip_group_2,trip,2023-10,57285,19,1.0,0,4650,45
trip_group_2,trip,2023-11,34535,16,0.76,0,3640,6345
trip_group_2,trip,2023-12,33850,14,0.14,0,6390,2850
trip_group_2,trip,2024-01,10525,7,0.1231,0,2500,2335
trip_group_2,trip,2024-02,19080,7,0.0593,0,2270,1280
trip_group_2,trip,2024-03,21180,15,0.2176,0,6150,1680
trip_group_2,trip,2024-04,65885,20,0.2146,0,1450,4225
trip_group_2,trip,2024-05,22180,7,0.1167,0,1530,750
trip_group_2,trip,2024-06,8480,7,0.0258,0,730,240
trip_group_2,trip,2024-07,21710,7,0.0129,0,270,5290
trip_group_2,trip,2024-08,20100,7,0.2025,0,7380,4240
trip_group_2,trip,2024-09,13790,7,0.2475,0,1280,4560
trip_group_2,trip,2024-10,49660,20,1.28,0,5990,1070
trip_group_2,trip,2024-11,49390,16,0.48,0,1480,1060
trip_group_2,trip,2024-12,16375,14,0.14,0,2450,380
trip_group_2,trip,2025-01,18140,8,0.1234,0,900,2740
trip_group_2,trip,2025-02,8750,8,0.1086,0,220,2420
trip_group_2,trip,2025-03,32550,16,0.1679,0,2770,2090
trip_group_2,trip,2025-04,41315,20,0.2746,0,2140,7180
trip_group_2,trip,2025-05,9170,8,0.0567,0,6490,1330
trip_group_2,trip,2025-06,44515,8,0.0258,0,0,1815
trip_group_2,trip,2025-07,22010,8,0.0129,0,1680,2100
trip_group_2,trip,2025-08,32035,7,0.45,0,8650,2605
trip_group_2,trip,2025-09,15920,8,0.6,0,3290,4710
trip_group_2,trip,2025-10,78800,24,1.1,0,3390,10290
trip_group_2,trip,2025-11,41855,16,0.06,0,810,2085
trip_group_2,trip,2025-12,38130,15,0.14,0,3190,4830
trip_group_2,trip,2026-01,39180,8,0.1234,0,7560,130
trip_group_2,trip,2026-02,21450,8,0.1461,0,3190,510
trip_group_2,trip,2026-03,62520,19,0.1304,0,2380,4350
trip_group_2,trip,2026-04,68665,23,0.2746,0,15535,13490
trip_group_2,trip,2026-05,13380,8,0.0567,0,2280,190
trip_group_2,trip,2026-06,13885,8,0.0258,0,2565,6660
trip_group_2,trip,2026-07,20625,8,0.0129,0,530,555
trip_group_2,trip,2026-08,17020,8,0.08,0,1210,620
trip_group_2,trip,2026-09,10315,8,0.37,0,1250,1695
trip_group_3,trip,2023-10,34060,25,1.0,0,2080,6950
trip_group_3,trip,2023-11,34040,18,0.76,0,1140,2420
trip_group_3,trip,2023-12,19540,15,0.14,0,7425,4665
trip_group_3,trip,2024-01,14575,8,0.1231,0,7715,510
trip_group_3,trip,2024-02,4655,7,0.0593,0,365,730
trip_group_3,trip,2024-03,30205,18,0.2176,0,985,4750
trip_group_3,trip,2024-04,35895,22,0.2146,0,5565,1950
trip_group_3,trip,2024-05,14670,8,0.1167,0,800,1150
trip_group_3,trip,2024-06,14950,8,0.0258,0,1200,5740
trip_group_3,trip,2024-07,6060,8,0.0129,0,5105,25
trip_group_3,trip,2024-08,11190,8,0.2025,0,3460,0
trip_group_3,trip,2024-09,19890,8,0.2475,0,0,1100
trip_group_3,trip,2024-10,49000,23,1.28,0,1160,5960
trip_group_3,trip,2024-11,24470,16,0.48,0,4360,2090
trip_group_3,trip,2024-12,28440,16,0.14,0,810,2630
trip_group_3,trip,2025-01,11290,8,0.1234,0,0,1310
trip_group_3,trip,2025-02,19360,7,0.1086,0,2890,0
trip_group_3,trip,2025-03,17915,17,0.1679,0,755,3870
trip_group_3,trip,2025-04,26105,21,0.2746,0,5135,2420
trip_group_3,trip,2025-05,11415,8,0.0567,0,280,945
trip_group_3,trip,2025-06,14690,7,0.0258,0,80,2680
trip_group_3,trip,2025-07,6510,8,0.0129,0,1800,3320
trip_group_3,trip,2025-08,8450,8,0.45,0,690,2300
trip_group_3,trip,2025-09,15820,7,0.6,0,1980,800
trip_group_3,trip,2025-10,25320,23,1.1,0,4160,3000
trip_group_3,trip,2025-11,23195,16,0.06,0,640,4405
trip_group_3,trip,2025-12,15930,16,0.14,0,6785,2785
trip_group_3,trip,2026-01,19190,7,0.1234,0,4150,0
trip_group_3,trip,2026-02,19975,8,0.1461,0,3535,290
trip_group_3,trip,2026-03,31050,18,0.1304,0,530,5640
trip_group_3,trip,2026-04,26320,20,0.2746,0,10040,1700
trip_group_3,trip,2026-05,8690,7,0.0567,0,450,1090
trip_group_3,trip,2026-06,7430,7,0.0258,0,0,830
trip_group_3,trip,2026-07,3615,7,0.0129,0,2445,30
trip_group_3,trip,2026-08,6525,7,0.08,0,905,3370
trip_group_3,trip,2026-09,12280,7,0.37,0,2530,0
working_bachelor_1,roommates,2023-10,98665,34,1.0,45590,37795,3540
working_bachelor_1,roommates,2023-11,68580,32,0.76,13150,6415,1875
