date,description,amount_npr,category,persona,household,group_type,festival
2023-10-07,Khanepani bill,180,utilities,family,family_2,family,
2023-10-07,Dal bhat at Newari khaja ghar,350,food,student_home,student_home_1,college,
2023-10-07,Chicken 1 kg team khaja,560,food,trip_group,trip_group_1,trip,
2023-10-07,Dashain kurta shopping,8150,shopping,working_bachelor,working_bachelor_3,roommates,
2023-10-07,Chicken 1 kg,890,food,working_bachelor,working_bachelor_3,roommates,
2023-10-08,aalu pyaj golbheda after class,340,food,family,family_1,family,
2023-10-08,Book shopping 4th sem,1860,education,family,family_2,family,
2023-10-08,College bus fee,1650,transport,student_home,student_home_3,college,
2023-10-08,samosa chiya sundhara for 7 people,180,food,student_hostel,student_hostel_1,roommates,
2023-10-08,Micro to Lagankhel,45,transport,trip_group,trip_group_1,trip,
2023-10-08,Hotel check out bill,10750,hotel,trip_group,trip_group_2,trip,
2023-10-08,worldlink internet 3 months,1080,utilities,working_bachelor,working_bachelor_1,roommates,
2023-10-08,Breakfast,360,food,working_bachelor,working_bachelor_1,roommates,
2023-10-08,Birthday cake,2750,food,working_bachelor,working_bachelor_3,roommates,
2023-10-09,Swimming pool entry with friends,820,entertainment,student_home,student_home_1,college,
2023-10-09,Winter blanket,4450,shopping,student_hostel,student_hostel_1,roommates,
2023-10-09,Cafe bill Satdobato - team khaja,880,food,student_hostel,student_hostel_3,roommates,
2023-10-09,Room rent and wifi together,13150,utilities,trip_group,trip_group_2,trip,
2023-10-09,Pool and snooker evening show,960,entertainment,trip_group,trip_group_2,trip,
2023-10-09,Hotel Pokhara 2 nights,3650,hotel,trip_group,trip_group_3,trip,
2023-10-10,NEA bijuli bill Kartik - advance,2750,utilities,family,family_1,family,
2023-10-10,Newari khaja set - takeaway,470,food,family,family_2,family,
2023-10-10,Thakali khana set Thamel half plate,430,food,family,family_2,family,
2023-10-10,Bedsheet and pillow,2450,shopping,family,family_3,family,
2023-10-10,Jacket Bhatbhateni,3300,shopping,student_home,student_home_3,college,
2023-10-10,Cab to airport with luggage,1200,transport,student_home,student_home_3,college,
2023-10-10,Thakali khana set Thamel,1110,food,student_hostel,student_hostel_1,roommates,
2023-10-10,NTC data pack - Kartik,370,utilities,student_hostel,student_hostel_2,roommates,
2023-10-10,Jacket Civil Mall,3350,shopping,student_hostel,student_hostel_2,roommates,
2023-10-10,Wifi bill last month,770,utilities,student_hostel,student_hostel_3,roommates,
2023-10-10,lunch at bakery cafe - veg,800,food,student_hostel,student_hostel_3,roommates,
2023-10-10,Scooter servicing,4000,transport,student_hostel,student_hostel_3,roommates,
2023-10-10,Aalu pyaj golbheda,540,food,trip_group,trip_group_2,trip,
2023-10-10,Guest house Lumbini,2150,hotel,trip_group,trip_group_3,trip,
2023-10-10,Petrol,1240,transport,working_bachelor,working_bachelor_1,roommates,
2023-10-10,doctor visit reimburse later,1280,other,working_bachelor,working_bachelor_1,roommates,
2023-10-10,Haircut,550,other,working_bachelor,working_bachelor_1,roommates,
2023-10-11,NEA bijuli bill Kartik,2900,utilities,family,family_3,family,
2023-10-11,New shoes - online,2600,shopping,student_home,student_home_1,college,
2023-10-11,Ncell combo 399 - paid via eSewa,770,utilities,student_home,student_home_2,college,
2023-10-11,paragliding sarangkot - with friends,17300,entertainment,student_hostel,student_hostel_1,roommates,
2023-10-11,Daraz order,7150,shopping,student_hostel,student_hostel_1,roommates,
2023-10-11,Book shopping,1340,education,student_hostel,student_hostel_2,roommates,
2023-10-11,Buff momo Koteshwor,270,food,student_hostel,student_hostel_3,roommates,
2023-10-11,Dashain shopping EMI,2550,shopping,working_bachelor,working_bachelor_1,roommates,
2023-10-11,dish home recharge last month,400,utilities,working_bachelor,working_bachelor_1,roommates,
2023-10-11,Futsal booking evening show,2100,entertainment,working_bachelor,working_bachelor_2,roommates,
2023-10-11,Bus fare Jhamsikhel to Kirtipur Ring Road,85,transport,working_bachelor,working_bachelor_3,roommates,
2023-10-12,tarkari kinne,800,food,family,family_1,family,
2023-10-12,Spotify family,640,entertainment,family,family_2,family,
2023-10-12,Photocopy,110,other,family,family_3,family,
2023-10-12,Lunch at Everest Momo Center,430,food,student_home,student_home_2,college,
2023-10-12,Stationery and printing for Anisha,1240,shopping,student_home,student_home_2,college,
2023-10-12,Stationery and printing EMI,350,shopping,student_home,student_home_3,college,
2023-10-12,dal bhat at trisara evening,430,food,student_hostel,student_hostel_3,roommates,
2023-10-12,Boating Phewa lake group booking,950,entertainment,student_hostel,student_hostel_3,roommates,
2023-10-12,Hotel bill with breakfast,5700,hotel,trip_group,trip_group_2,trip,
2023-10-12,Trip contribution,4300,hotel,working_bachelor,working_bachelor_1,roommates,
2023-10-12,Chicken momo plate - Saturday,270,food,working_bachelor,working_bachelor_2,roommates,
2023-10-12,Dinner Momo Magic team khaja,1760,food,working_bachelor,working_bachelor_3,roommates,
2023-10-12,SEKUWA AND CHIURA,1180,food,working_bachelor,working_bachelor_3,roommates,
2023-10-13,Wifi bill,930,utilities,family,family_1,family,
2023-10-13,nea bijuli bill kartik,2250,utilities,family,family_2,family,
2023-10-13,Bus ticket and khaja on the way,560,food,family,family_3,family,
2023-10-13,Birthday cake with dai,1640,food,family,family_3,family,
2023-10-13,Chicken momo plate after class,250,food,student_home,student_home_2,college,
2023-10-13,Tarkari kinne,660,food,student_home,student_home_3,college,
2023-10-13,Grocery Durbarmarg showroom - takeaway,1350,food,student_hostel,student_hostel_2,roommates,
2023-10-13,Momo at Newari khaja ghar extra chutney,220,food,student_hostel,student_hostel_2,roommates,
2023-10-13,Resort Sarangkot per night weekend rate,13050,hotel,trip_group,trip_group_1,trip,
2023-10-13,Repair work,2200,other,working_bachelor,working_bachelor_3,roommates,
2023-10-14,Micro to Baneshwor,30,transport,family,family_2,family,
2023-10-14,Taxi Balkhu to Maharajgunj morning,350,transport,family,family_2,family,
2023-10-14,breafast,140,food,family,family_2,family,
2023-10-14,School fee for Anisha - late fee included,9200,education,family,family_3,family,
2023-10-14,Monthly bill paid,9350,other,student_home,student_home_2,college,
2023-10-14,Canteen lunch at college,130,food,student_home,student_home_2,college,
2023-10-14,Bus,200,transport,student_home,student_home_3,college,
2023-10-14,Lunch at Roadhouse Cafe,490,food,student_hostel,student_hostel_2,roommates,
2023-10-14,Pool and snooker evening show,800,entertainment,trip_group,trip_group_2,trip,
2023-10-14,Worldlink internet 3 months shared 3 ways,1090,utilities,working_bachelor,working_bachelor_2,roommates,
2023-10-14,bus fare baneshwor to balkhu,90,transport,working_bachelor,working_bachelor_3,roommates,
2023-10-15,Rent Kartik paid to landlord,17450,rent,family,family_1,family,
2023-10-15,Tika dakshina for nieces and nephews urgent,6800,other,family,family_1,family,dashain
2023-10-15,Fruits and sweets for Dashain - office lunch,4000,food,family,family_1,family,dashain
2023-10-15,Ice cream,100,food,family,family_2,family,
2023-10-15,Tarkari kinne veg,1100,food,family,family_3,family,
2023-10-15,COLLEGE BUS FEE - TO COLLEGE,2250,transport,student_home,student_home_1,college,
2023-10-15,Khasi for Dashain (shared with family),13950,food,student_home,student_home_1,college,dashain
2023-10-15,Chiken momo plate evening,140,food,student_home,student_home_2,college,
2023-10-15,New clothes fo Dashain for home,10650,shopping,student_home,student_home_2,college,dashain
2023-10-15,vegetables from kalimati saturday,1140,food,student_home,student_home_3,college,
2023-10-15,Futsal booking,1340,entertainment,student_home,student_home_3,college,
2023-10-15,Wifi bill,730,utilities,student_hostel,student_hostel_1,roommates,
2023-10-15,Khaja half plate,310,food,student_hostel,student_hostel_2,roommates,
2023-10-15,NEA bijuli bill Kartik,1310,utilities,student_hostel,student_hostel_3,roommates,
2023-10-15,Thakali khana set Jhamsikhel with Hari,680,food,trip_group,trip_group_2,trip,
2023-10-15,Zipline Dhulikhel group booking,3150,entertainment,trip_group,trip_group_2,trip,
2023-10-15,Snacks for cards night - extra chutney,2150,food,working_bachelor,working_bachelor_1,roommates,dashain
2023-10-15,Electricity bill,1570,utilities,working_bachelor,working_bachelor_2,roommates,
2023-10-15,Changa and lattai for Dashain - evening show,1430,entertainment,working_bachelor,working_bachelor_2,roommates,dashain
2023-10-16,Vianet renewal,3250,utilities,family,family_1,family,
2023-10-16,Gas cylinder Katik,1890,utilities,family,family_1,family,
2023-10-16,Jamara and puja samagri,830,other,family,family_1,family,dashain
2023-10-16,Khanepani bill,630,utilities,family,family_3,family,
2023-10-16,Bus ticket home for Dashain shared,4000,transport,family,family_3,family,dashain
2023-10-16,Ncell combo 399paid by Khalti,240,utilities,student_home,student_home_1,college,
2023-10-16,Tourist bus Kathmandu to Pokhara,1740,transport,student_home,student_home_1,college,
2023-10-16,Birthday party dinner evening,9150,food,student_home,student_home_1,college,birthday
2023-10-16,Birthday party dinner,8800,food,student_home,student_home_1,college,birthday
2023-10-16,Birthday party dinner evening,5350,food,student_home,student_home_1,college,birthday
2023-10-16,Trip contribution,1530,other,student_home,student_home_2,college,
2023-10-16,Changa and lattai for Dashain,1540,entertainment,student_home,student_home_2,college,dashain
2023-10-16,BANK CHARGE,150,other,student_home,student_home_3,college,
2023-10-16,Gift for hajurba hajurama for home,3150,shopping,student_hostel,student_hostel_1,roommates,dashain
2023-10-16,NTC data pack,350,utilities,student_hostel,student_hostel_3,roommates,
2023-10-16,College bus fee,2550,education,student_hostel,student_hostel_3,roommates,
2023-10-16,Jamara and puja samagri,480,other,student_hostel,student_hostel_3,roommates,dashain
2023-10-16,Jamara and puja samagri emergency,1160,other,student_hostel,student_hostel_3,roommates,dashain
2023-10-16,Bus fare Bouddha to Sundhara,45,transport,trip_group,trip_group_3,trip,
2023-10-16,Snacks during movie - Saturday,290,food,trip_group,trip_group_3,trip,
2023-10-16,Popcorn and coke at One Cinemas,350,entertainment,trip_group,trip_group_3,trip,
2023-10-16,Tika dakshina for nieces and nephews cash,1970,other,working_bachelor,working_bachelor_1,roommates,dashain
2023-10-16,Cab to airport with uggage morning,1300,transport,working_bachelor,working_bachelor_3,roommates,
2023-10-16,Jamara and puja samagri for Mina,1320,other,working_bachelor,working_bachelor_3,roommates,dashain
2023-10-17,Snacks during movie after class,480,food,family,family_1,family,
2023-10-17,Jamara and puja samagri emergency,1040,other,family,family_1,family,dashain
2023-10-17,Bike petrol Kartik,1820,transport,family,family_2,family,
2023-10-17,Khasi meat for Dashain,2300,food,family,family_2,family,dashain
2023-10-17,Jamara and puja samagri,450,other,family,family_2,family,dashain
2023-10-17,Tika dakshina for nieces and nephews cash,7900,other,family,family_3,family,dashain
2023-10-17,Tika dakshina for nieces and nephews for didi,2850,other,family,family_3,family,dashain
2023-10-17,fruits and sweets for dashain,4050,food,student_home,student_home_2,college,dashain
2023-10-17,Khasi for Dashain (shared with family) - takeaway,17650,food,student_home,student_home_2,college,dashain
2023-10-17,College bus fee - part payment,1130,education,student_home,student_home_3,college,
2023-10-17,Bedsheet and pillow,1680,shopping,student_home,student_home_3,college,
2023-10-17,Aalu pyaj golbheda,730,food,student_hostel,student_hostel_1,roommates,
2023-10-17,Bus ticket home for Dashain,1300,transport,student_hostel,student_hostel_2,roommates,dashain
2023-10-17,water jar with hari,120,food,working_bachelor,working_bachelor_1,roommates,
2023-10-17,Khasimeat for Dashain,7300,food,working_bachelor,working_bachelor_1,roommates,dashain
2023-10-17,New clothes for Dashain,5500,shopping,working_bachelor,working_bachelor_3,roommates,dashain
2023-10-17,Snacks for cards night - team khaja,3200,food,working_bachelor,working_bachelor_3,roommates,dashain
2023-10-18,Water jar,70,food,family,family_2,family,
2023-10-18,Khasi for Dashain (shared with family),14450,food,family,family_2,family,dashain
2023-10-18,Rent Kartik,26450,rent,family,family_3,family,
2023-10-18,Tika dakshina for nieces and nephews,4650,other,family,family_3,family,dashain
2023-10-18,Tika dakshina for nieces and nephews emergency,2700,other,family,family_3,family,dashain
2023-10-18,chicken 1 kg half plate,710,food,student_home,student_home_1,college,
2023-10-18,New clothes for Dashain,10150,shopping,student_home,student_home_1,college,dashain
2023-10-18,New clothes for Dashain,4750,shopping,student_home,student_home_1,college,dashain
2023-10-18,Khasi for Dashain (shared with family) - veg,12300,food,student_home,student_home_1,college,dashain
2023-10-18,tuition fee monthly,8900,education,student_home,student_home_3,college,
2023-10-18,Boating Phewa lake - with friends,1250,entertainment,student_hostel,student_hostel_1,roommates,
2023-10-18,Grocery Bhatbhateni,880,food,student_hostel,student_hostel_2,roommates,
2023-10-18,Chowmein and coke,320,food,trip_group,trip_group_1,trip,
2023-10-18,Dashain kurta shopping,8250,shopping,working_bachelor,working_bachelor_1,roommates,
2023-10-18,Daraz order - EMI,2450,shopping,working_bachelor,working_bachelor_1,roommates,
2023-10-18,Photocopy,90,other,working_bachelor,working_bachelor_1,roommates,
2023-10-18,BIKE PETROL KARTIK,5700,transport,working_bachelor,working_bachelor_3,roommates,
2023-10-18,Stationery and printing,1900,education,working_bachelor,working_bachelor_3,roommates,
2023-10-18,Changa and lattai for Dashain - evening show,1170,entertainment,working_bachelor,working_bachelor_3,roommates,dashain
2023-10-19,School fee for Prakriti 6th sem,10350,education,family,family_1,family,
2023-10-19,New clothes for Dashain - EMI,13000,shopping,family,family_1,family,dashain
2023-10-19,School fee for Sujan,6400,education,family,family_2,family,
2023-10-19,Samosa chiya Baneshwor,140,food,family,family_2,family,
2023-10-19,Snacks for cards night,660,food,family,family_2,family,dashain
2023-10-19,Changa and lattai for Dashain - with friends,560,entertainment,family,family_3,family,dashain
2023-10-19,Chicken 1 kg veg,640,food,student_home,student_home_2,college,
2023-10-19,Bus ticket home for Dashain shared,2950,transport,student_home,student_home_2,college,dashain
2023-10-19,Aalu pyaj golbheda takeaway,840,food,student_hostel,student_hostel_1,roommates,
2023-10-19,Chicken momo plate half plate,250,food,student_hostel,student_hostel_2,roommates,
2023-10-19,bike petrol kartik,1140,transport,student_hostel,student_hostel_2,roommates,
2023-10-19,Spotify family,1080,entertainment,student_hostel,student_hostel_3,roommates,
2023-10-19,Hotel Dhulikhel 2 nights weekend rate,3150,hotel,trip_group,trip_group_3,trip,
2023-10-19,Changa and lattai for Dashain with friends,310,entertainment,working_bachelor,working_bachelor_1,roommates,dashain
2023-10-19,Bus ticket home for Dashain,2300,transport,working_bachelor,working_bachelor_1,roommates,dashain
2023-10-19,Bungee jump,11000,entertainment,working_bachelor,working_bachelor_2,roommates,
2023-10-19,Snacks for cards night,3050,food,working_bachelor,working_bachelor_2,roommates,dashain
2023-10-19,Dashain shopping EMI,14900,shopping,working_bachelor,working_bachelor_3,roommates,
2023-10-19,Headphones - with cashback,10550,shopping,working_bachelor,working_bachelor_3,roommates,
2023-10-19,Snacks for cards night takeaway,1330,food,working_bachelor,working_bachelor_3,roommates,dashain
2023-10-19,Khasi meat for Dashain,7800,food,working_bachelor,working_bachelor_3,roommates,dashain
2023-10-19,Bus ticket home for Dashain morning,3400,transport,working_bachelor,working_bachelor_3,roommates,dashain
2023-10-20,tika dakshina for nieces and nephews,6350,other,family,family_1,family,dashain
2023-10-20,Bus ticket home for Dashain shared,3000,transport,family,family_1,family,dashain
2023-10-20,Rent Kartik Kartik,28950,rent,family,family_2,family,
2023-10-20,Chicken 1 kg - veg,480,food,family,family_2,family,
2023-10-20,Doctor visit,2100,other,family,family_3,family,
2023-10-20,Paragliding Sarangkot weekend,11250,entertainment,student_home,student_home_1,college,
2023-10-20,Fruits and sweets for Dashain,1960,food,student_home,student_home_1,college,dashain
2023-10-20,bus ticket home for dashain - morning,2450,transport,student_home,student_home_1,college,dashain
2023-10-20,New clothes for Dashain,5850,shopping,student_home,student_home_1,college,dashain
2023-10-20,Tika dakshina for nieces and nephews,8600,other,student_home,student_home_3,college,dashain
2023-10-20,room rent kartik,4700,rent,student_hostel,student_hostel_1,roommates,
2023-10-20,Project printing and binding,2050,education,student_hostel,student_hostel_1,roommates,
2023-10-20,Samosa chiya Jhamsikhel,310,food,student_hostel,student_hostel_1,roommates,
2023-10-20,Bus ticket home for Dashain,2950,transport,student_hostel,student_hostel_1,roommates,dashain
2023-10-20,Vegetables from Kalimati,1000,food,student_hostel,student_hostel_2,roommates,
2023-10-20,Vegetable from Kalimati,2000,food,student_hostel,student_hostel_3,roommates,
2023-10-20,Jeep to Sauraha - late night,3100,transport,trip_group,trip_group_3,trip,
2023-10-20,Changa and lattai for Dashain,960,entertainment,working_bachelor,working_bachelor_1,roommates,dashain
2023-10-21,Dish home recharge,620,utilities,family,family_1,family,
2023-10-21,Scooter servicing,2950,transport,family,family_3,family,
2023-10-21,khasi for dashain (shared with family),19350,food,family,family_3,family,dashain
2023-10-21,Khasi for Dashain (shared with family),18300,food,student_home,student_home_1,college,dashain
2023-10-21,FRUITS AND SWEETS FOR DASHAIN HALF PLATE,5150,food,student_home,student_home_2,college,dashain
2023-10-21,New clothes for Dashain,4100,shopping,student_home,student_home_3,college,dashain
2023-10-21,Pool and snooker for 4 people,1660,entertainment,student_hostel,student_hostel_1,roommates,
2023-10-21,Lab fee,3500,education,student_hostel,student_hostel_2,roommates,
2023-10-21,Fruits and sweets for Dashain,3300,food,student_hostel,student_hostel_2,roommates,dashain
2023-10-21,NEW CLOTHES FOR DASHAIN FOR HARI,6000,shopping,student_hostel,student_hostel_2,roommates,dashain
2023-10-21,Tika dakshina for nieces and nephews,3200,other,student_hostel,student_hostel_2,roommates,dashain
2023-10-21,petrol to college,2200,transport,student_hostel,student_hostel_3,roommates,
2023-10-21,Fruits and sweets for Dashain,4450,food,student_hostel,student_hostel_3,roommates,dashain
2023-10-21,Hotel Sarangkot 2 nights,7450,hotel,trip_group,trip_group_2,trip,
2023-10-21,Concert ticket with friends,2200,entertainment,trip_group,trip_group_2,trip,
2023-10-21,Thakali khana set Lagankhel,620,food,trip_group,trip_group_2,trip,
2023-10-21,Tarkari kinne,390,food,trip_group,trip_group_3,trip,
2023-10-21,Chicken momo plate,120,food,trip_group,trip_group_3,trip,
2023-10-21,Newari khaja set,430,food,trip_group,trip_group_3,trip,
2023-10-21,Samosa chiya Patan,85,food,working_bachelor,working_bachelor_1,roommates,
2023-10-21,WORLDLINK INTERNET 3 MONTHS,1370,utilities,working_bachelor,working_bachelor_3,roommates,
2023-10-21,Gift for hajurba hajurama,6750,shopping,working_bachelor,working_bachelor_3,roommates,dashain
2023-10-21,Fruits and sweets for Dashain takeaway,7400,food,working_bachelor,working_bachelor_3,roommates,dashain
2023-10-22,Petrol 5 litre,1480,transport,family,family_1,family,
2023-10-22,Gift for hajurba hajurama - sale price,2500,shopping,family,family_1,family,dashain
2023-10-22,Lunch at local bhojanalaya evening,570,food,family,family_2,family,
2023-10-22,Snacks for cards night,1260,food,family,family_2,family,dashain
2023-10-22,Bus ticket home for Dashain,1660,transport,family,family_2,family,dashain
2023-10-22,Tika dakshina for nieces and nephews,6900,other,family,family_3,family,dashain
2023-10-22,Jamara and puja samagri,950,other,family,family_3,family,dashain
2023-10-22,Khasi for Dashain (shared with family) takeaway,23650,food,family,family_3,family,dashain
2023-10-22,COLLEGE BUS FEE,1310,transport,student_home,student_home_2,college,
2023-10-22,New clothes for Dashain,6450,shopping,student_home,student_home_2,college,dashain
2023-10-22,Ncell combo 399,550,utilities,student_home,student_home_3,college,
2023-10-22,Room booking advance weekend rate,1990,hotel,student_hostel,student_hostel_2,roommates,
2023-10-22,Room rent Kartk,6950,rent,student_hostel,student_hostel_3,roommates,
2023-10-22,Jamara and puja samagri - for Sujan,1210,other,student_hostel,student_hostel_3,roommates,dashain
2023-10-22,Birthday cake,2450,food,trip_group,trip_group_2,trip,
2023-10-22,Chiya for everyone,140,food,trip_group,trip_group_3,trip,
2023-10-22,Room booking advance advance paid,4750,hotel,trip_group,trip_group_3,trip,
2023-10-22,Airport taxi Ring Road,970,transport,trip_group,trip_group_3,trip,
2023-10-22,Park entry ticket,230,entertainment,working_bachelor,working_bachelor_1,roommates,
2023-10-22,Khasi for Dashain (shared with family) - veg,12100,food,working_bachelor,working_bachelor_1,roommates,dashain
2023-10-23,Cafe bill Balkhu,1280,food,family,family_1,family,
2023-10-23,Khanepani bill,660,utilities,family,family_2,family,
2023-10-23,Wifi bill,1060,utilities,family,family_2,family,
2023-10-23,New clothes for Dashain,6200,shopping,family,family_2,family,dashain
2023-10-23,Snacks for cards night,820,food,family,family_2,family,dashain
2023-10-23,Khasi meat for Dashain,10850,food,family,family_3,family,dashain
2023-10-23,Cable car ticket,1040,transport,student_home,student_home_2,college,
2023-10-23,Bus ticket home for Dashain to college,1910,transport,student_home,student_home_2,college,dashain
2023-10-23,Exam form fee,2350,education,student_home,student_home_3,college,
2023-10-23,Admission fee instalment 4th sem,69200,education,student_hostel,student_hostel_1,roommates,
2023-10-23,gift for hajurba hajurama - online,6150,shopping,student_hostel,student_hostel_1,roommates,dashain
2023-10-23,khasi meat for dashain,5050,food,student_hostel,student_hostel_1,roommates,dashain
2023-10-23,Snacks for cards night,2400,food,student_hostel,student_hostel_1,roommates,dashain
2023-10-23,Vegetables from Kalimati,580,food,student_hostel,student_hostel_2,roommates,
2023-10-23,snacks for cards night team khaja,2050,food,student_hostel,student_hostel_2,roommates,dashain
2023-10-23,Snacks for cards night team khaja,2900,food,student_hostel,student_hostel_3,roommates,dashain
2023-10-23,Swimming pool entry,990,entertainment,trip_group,trip_group_3,trip,
2023-10-23,Winter blanket,3650,shopping,trip_group,trip_group_3,trip,
2023-10-23,Electricity bill,1110,utilities,working_bachelor,working_bachelor_1,roommates,
2023-10-23,Paragliding Sarangkot with friends,20550,entertainment,working_bachelor,working_bachelor_3,roommates,
2023-10-23,Jamara and puja samagri - emergency,880,other,working_bachelor,working_bachelor_3,roommates,dashain
2023-10-23,khasi meat for dashain,12800,food,working_bachelor,working_bachelor_3,roommates,dashain
2023-10-24,Gift for hajurba hajurama,5200,shopping,family,family_1,family,dashain
2023-10-24,Jamara and puja samagri,1590,other,family,family_1,family,dashain
2023-10-24,Petrol to office,1790,transport,family,family_2,family,
2023-10-24,Khasi for Dashain (shared with family) - Saturday,13500,food,family,family_2,family,dashain
2023-10-24,Ncell combo 399 last month,690,utilities,family,family_3,family,
2023-10-24,Sajha bus to Bouddha shared,65,transport,family,family_3,family,
2023-10-24,Khasi for Dashain (shared with family) extra chutney,21600,food,family,family_3,family,dashain
2023-10-24,Khasi for Dashain (shared with family),20250,food,family,family_3,family,dashain
2023-10-24,InDrive to Sundhara,330,transport,student_home,student_home_1,college,
2023-10-24,New lothes for Dashain,6500,shopping,student_home,student_home_1,college,dashain
2023-10-24,Trip contribution,4000,other,student_home,student_home_2,college,
2023-10-24,Jamara and puja samagri - cash,650,other,student_home,student_home_2,college,dashain
2023-10-24,Movie tickets for 4,2000,entertainment,student_home,student_home_3,college,
2023-10-24,Fruits and sweets for Dashain office lunch,4600,food,student_hostel,student_hostel_1,roommates,dashain
2023-10-24,Jamara and puja samagri for Bikash,900,other,student_hostel,student_hostel_2,roommates,dashain
2023-10-24,Jamara and puja samagri urgent,390,other,student_hostel,student_hostel_3,roommates,dashain
2023-10-24,Tika dakshina for nieces and nephews reimburse later,4150,other,student_hostel,student_hostel_3,roommates,dashain
2023-10-24,Laundry urgent,730,other,trip_group,trip_group_1,trip,
2023-10-24,Water jar - Kartik,80,utilities,trip_group,trip_group_3,trip,
2023-10-24,Khasi meat for Dashain,7250,food,working_bachelor,working_bachelor_1,roommates,dashain
